second,Volt_1,Hertz,Volt_2
+8.45000E-03,+11.08040E-03,+10.725000E+03,+693.16E-06
+8.46000E-03,+3.04020E-03,+10.730000E+03,+673.63E-06
+8.47000E-03,+2.53769E-03,+10.735000E+03,+673.63E-06
+8.48000E-03,-5.00000E-03,+10.740000E+03,+654.09E-06
+8.49000E-03,+3.04020E-03,+10.745000E+03,+654.09E-06
+8.50000E-03,-12.53769E-03,+10.750000E+03,+634.56E-06
+8.51000E-03,-5.00000E-03,+10.755000E+03,+634.56E-06
+8.52000E-03,-13.04020E-03,+10.760000E+03,+615.03E-06
+8.53000E-03,-5.00000E-03,+10.765000E+03,+615.03E-06
+8.54000E-03,-13.04020E-03,+10.770000E+03,+615.03E-06
+8.55000E-03,-5.00000E-03,+10.775000E+03,+615.03E-06
+8.56000E-03,+2.53769E-03,+10.780000E+03,+595.50E-06
+8.57000E-03,+3.04020E-03,+10.785000E+03,+595.50E-06
+8.58000E-03,+3.04020E-03,+10.790000E+03,+595.50E-06
+8.59000E-03,+3.04020E-03,+10.795000E+03,+595.50E-06
+8.60000E-03,+10.57789E-03,+10.800000E+03,+615.03E-06
+8.61000E-03,+3.04020E-03,+10.805000E+03,+615.03E-06
+8.62000E-03,+11.08040E-03,+10.810000E+03,+615.03E-06
+8.63000E-03,+11.08040E-03,+10.815000E+03,+615.03E-06
+8.64000E-03,+3.04020E-03,+10.820000E+03,+615.03E-06
+8.65000E-03,-5.00000E-03,+10.825000E+03,+615.03E-06
+8.66000E-03,-5.00000E-03,+10.830000E+03,+615.03E-06
+8.67000E-03,-5.00000E-03,+10.835000E+03,+634.56E-06
+8.68000E-03,-13.04020E-03,+10.840000E+03,+634.56E-06
+8.69000E-03,-13.04020E-03,+10.845000E+03,+634.56E-06
+8.70000E-03,-12.53769E-03,+10.850000E+03,+634.56E-06
+8.71000E-03,-13.04020E-03,+10.855000E+03,+654.09E-06
+8.72000E-03,-5.00000E-03,+10.860000E+03,+654.09E-06
+8.73000E-03,-5.00000E-03,+10.865000E+03,+654.09E-06
+8.74000E-03,+3.04020E-03,+10.870000E+03,+654.09E-06
+8.75000E-03,+11.08040E-03,+10.875000E+03,+654.09E-06
+8.76000E-03,+11.08040E-03,+10.880000E+03,+654.09E-06
+8.77000E-03,+3.04020E-03,+10.885000E+03,+654.09E-06
+8.78000E-03,+11.08040E-03,+10.890000E+03,+654.09E-06
+8.79000E-03,+3.04020E-03,+10.895000E+03,+654.09E-06
+8.80000E-03,+3.04020E-03,+10.900000E+03,+654.09E-06
+8.81000E-03,+3.04020E-03,+10.905000E+03,+654.09E-06
+8.82000E-03,-12.53769E-03,+10.910000E+03,+654.09E-06
+8.83000E-03,-5.00000E-03,+10.915000E+03,+654.09E-06
+8.84000E-03,-5.00000E-03,+10.920000E+03,+654.09E-06
+8.85000E-03,-5.00000E-03,+10.925000E+03,+654.09E-06
+8.86000E-03,-5.00000E-03,+10.930000E+03,+654.09E-06
+8.87000E-03,-13.04020E-03,+10.935000E+03,+654.09E-06
+8.88000E-03,-5.00000E-03,+10.940000E+03,+654.09E-06
+8.89000E-03,-5.00000E-03,+10.945000E+03,+654.09E-06
+8.90000E-03,+3.04020E-03,+10.950000E+03,+654.09E-06
+8.91000E-03,+3.04020E-03,+10.955000E+03,+654.09E-06
+8.92000E-03,+3.04020E-03,+10.960000E+03,+654.09E-06
+8.93000E-03,+11.08040E-03,+10.965000E+03,+654.09E-06
+8.94000E-03,+11.08040E-03,+10.970000E+03,+634.56E-06
+8.95000E-03,+3.04020E-03,+10.975000E+03,+634.56E-06
+8.96000E-03,+3.04020E-03,+10.980000E+03,+634.56E-06
+8.97000E-03,+3.04020E-03,+10.985000E+03,+634.56E-06
+8.98000E-03,+3.04020E-03,+10.990000E+03,+615.03E-06
+8.99000E-03,+3.04020E-03,+10.995000E+03,+615.03E-06
+9.00000E-03,-5.00000E-03,+11.000000E+03,+615.03E-06
+9.01000E-03,-5.00000E-03,+11.005000E+03,+615.03E-06
+9.02000E-03,-13.04020E-03,+11.010000E+03,+615.03E-06
+9.03000E-03,-13.04020E-03,+11.015000E+03,+615.03E-06
+9.04000E-03,-5.00000E-03,+11.020000E+03,+615.03E-06
+9.05000E-03,-5.00000E-03,+11.025000E+03,+595.50E-06
+9.06000E-03,-5.00000E-03,+11.030000E+03,+595.50E-06
+9.07000E-03,+2.53769E-03,+11.035000E+03,+595.50E-06
+9.08000E-03,+2.53769E-03,+11.040000E+03,+595.50E-06
+9.09000E-03,+3.04020E-03,+11.045000E+03,+595.50E-06
+9.10000E-03,+11.08040E-03,+11.050000E+03,+595.50E-06
+9.11000E-03,+11.08040E-03,+11.055000E+03,+595.50E-06
+9.12000E-03,+11.08040E-03,+11.060000E+03,+595.50E-06
+9.13000E-03,+3.04020E-03,+11.065000E+03,+595.50E-06
+9.14000E-03,+3.04020E-03,+11.070000E+03,+595.50E-06
+9.15000E-03,+2.53769E-03,+11.075000E+03,+595.50E-06
+9.16000E-03,-5.00000E-03,+11.080000E+03,+595.50E-06
+9.17000E-03,-12.53769E-03,+11.085000E+03,+615.03E-06
+9.18000E-03,-5.00000E-03,+11.090000E+03,+615.03E-06
+9.19000E-03,-5.00000E-03,+11.095000E+03,+615.03E-06
+9.20000E-03,-13.04020E-03,+11.100000E+03,+615.03E-06
+9.21000E-03,-12.53769E-03,+11.105000E+03,+634.56E-06
+9.22000E-03,-5.00000E-03,+11.110000E+03,+634.56E-06
+9.23000E-03,+3.04020E-03,+11.115000E+03,+634.56E-06
+9.24000E-03,+3.04020E-03,+11.120000E+03,+654.09E-06
+9.25000E-03,+3.04020E-03,+11.125000E+03,+654.09E-06
+9.26000E-03,+3.04020E-03,+11.130000E+03,+673.63E-06
+9.27000E-03,+11.08040E-03,+11.135000E+03,+673.63E-06
+9.28000E-03,+10.57789E-03,+11.140000E+03,+673.63E-06
+9.29000E-03,+3.04020E-03,+11.145000E+03,+673.63E-06
+9.30000E-03,+3.04020E-03,+11.150000E+03,+673.63E-06
+9.31000E-03,+3.04020E-03,+11.155000E+03,+673.63E-06
+9.32000E-03,+3.04020E-03,+11.160000E+03,+693.16E-06
+9.33000E-03,+2.53769E-03,+11.165000E+03,+693.16E-06
+9.34000E-03,-13.04020E-03,+11.170000E+03,+693.16E-06
+9.35000E-03,-13.04020E-03,+11.175000E+03,+693.16E-06
+9.36000E-03,-5.00000E-03,+11.180000E+03,+693.16E-06
+9.37000E-03,-5.00000E-03,+11.185000E+03,+693.16E-06
+9.38000E-03,-5.00000E-03,+11.190000E+03,+693.16E-06
+9.39000E-03,+2.53769E-03,+11.195000E+03,+693.16E-06
+9.40000E-03,+2.53769E-03,+11.200000E+03,+673.63E-06
+9.41000E-03,+3.04020E-03,+11.205000E+03,+673.63E-06
+9.42000E-03,+3.04020E-03,+11.210000E+03,+673.63E-06
+9.43000E-03,+10.57789E-03,+11.215000E+03,+673.63E-06
+9.44000E-03,+3.04020E-03,+11.220000E+03,+673.63E-06
+9.45000E-03,+11.08040E-03,+11.225000E+03,+673.63E-06
+9.46000E-03,+10.57789E-03,+11.230000E+03,+673.63E-06
+9.47000E-03,+3.04020E-03,+11.235000E+03,+673.63E-06
+9.48000E-03,+3.04020E-03,+11.240000E+03,+673.63E-06
+9.49000E-03,-5.00000E-03,+11.245000E+03,+673.63E-06
+9.50000E-03,-5.00000E-03,+11.250000E+03,+673.63E-06
+9.51000E-03,-5.00000E-03,+11.255000E+03,+673.63E-06
+9.52000E-03,-12.53769E-03,+11.260000E+03,+673.63E-06
+9.53000E-03,-13.04020E-03,+11.265000E+03,+673.63E-06
+9.54000E-03,-20.57789E-03,+11.270000E+03,+673.63E-06
+9.55000E-03,-12.53769E-03,+11.275000E+03,+654.09E-06
+9.56000E-03,-5.00000E-03,+11.280000E+03,+654.09E-06
+9.57000E-03,-5.00000E-03,+11.285000E+03,+654.09E-06
+9.58000E-03,+3.04020E-03,+11.290000E+03,+654.09E-06
+9.59000E-03,+3.04020E-03,+11.295000E+03,+654.09E-06
+9.60000E-03,+26.65829E-03,+11.300000E+03,+654.09E-06
+9.61000E-03,+19.12060E-03,+11.305000E+03,+654.09E-06
+9.62000E-03,+18.61809E-03,+11.310000E+03,+654.09E-06
+9.63000E-03,+11.08040E-03,+11.315000E+03,+634.56E-06
+9.64000E-03,+3.04020E-03,+11.320000E+03,+634.56E-06
+9.65000E-03,+3.04020E-03,+11.325000E+03,+634.56E-06
+9.66000E-03,-5.00000E-03,+11.330000E+03,+615.03E-06
+9.67000E-03,-13.04020E-03,+11.335000E+03,+615.03E-06
+9.68000E-03,-13.04020E-03,+11.340000E+03,+615.03E-06
+9.69000E-03,-12.53769E-03,+11.345000E+03,+615.03E-06
+9.70000E-03,-13.04020E-03,+11.350000E+03,+595.50E-06
+9.71000E-03,+2.53769E-03,+11.355000E+03,+595.50E-06
+9.72000E-03,+2.53769E-03,+11.360000E+03,+595.50E-06
+9.73000E-03,+3.04020E-03,+11.365000E+03,+595.50E-06
+9.74000E-03,+3.04020E-03,+11.370000E+03,+575.97E-06
+9.75000E-03,+11.08040E-03,+11.375000E+03,+575.97E-06
+9.76000E-03,+11.08040E-03,+11.380000E+03,+575.97E-06
+9.77000E-03,+3.04020E-03,+11.385000E+03,+575.97E-06
+9.78000E-03,+11.08040E-03,+11.390000E+03,+556.44E-06
+9.79000E-03,+11.08040E-03,+11.395000E+03,+556.44E-06
+9.80000E-03,+11.08040E-03,+11.400000E+03,+556.44E-06
+9.81000E-03,+10.57789E-03,+11.405000E+03,+556.44E-06
+9.82000E-03,+2.53769E-03,+11.410000E+03,+556.44E-06
+9.83000E-03,-12.53769E-03,+11.415000E+03,+556.44E-06
+9.84000E-03,-5.00000E-03,+11.420000E+03,+556.44E-06
+9.85000E-03,-12.53769E-03,+11.425000E+03,+556.44E-06
+9.86000E-03,-5.00000E-03,+11.430000E+03,+556.44E-06
+9.87000E-03,-5.00000E-03,+11.435000E+03,+556.44E-06
+9.88000E-03,-5.00000E-03,+11.440000E+03,+556.44E-06
+9.89000E-03,+2.53769E-03,+11.445000E+03,+556.44E-06
+9.90000E-03,+3.04020E-03,+11.450000E+03,+556.44E-06
+9.91000E-03,+10.57789E-03,+11.455000E+03,+556.44E-06
+9.92000E-03,+11.08040E-03,+11.460000E+03,+556.44E-06
+9.93000E-03,+19.12060E-03,+11.465000E+03,+556.44E-06
+9.94000E-03,+11.08040E-03,+11.470000E+03,+556.44E-06
+9.95000E-03,+11.08040E-03,+11.475000E+03,+556.44E-06
+9.96000E-03,+11.08040E-03,+11.480000E+03,+556.44E-06
+9.97000E-03,+3.04020E-03,+11.485000E+03,+536.91E-06
+9.98000E-03,+3.04020E-03,+11.490000E+03,+536.91E-06
+9.99000E-03,-5.00000E-03,+11.495000E+03,+536.91E-06
